,species,ln_r_mu,ln_r_sd,r_mean,r_var,dispersion,r_orig,r,r_lower_bound,r_upper_bound,r_bound_note,source,link,congener_sp,alt_species
67,Aristaeomorpha foliacea,NA,NA,NA,NA,NA,0.3384717252,0.47,0.3,0.73,95% CL,SeaLifeBase,https://www.sealifebase.ca/summary/Aristaeomorpha-foliacea.html,,
68,Sebastes chlorostictus,-2.628681053,0.5902061908,0.08590533208,0.003075269071,0.03579834914,0.08517461966,,,,,,,,
69,Kathetostoma giganteum,-1.262275478,0.1515156371,0.2862765481,0.001903185147,0.006648065163,0.2862420946,,,,,,,,
70,Penaeus semisulcatus,NA,NA,NA,NA,NA,0.7639885775,1.18,0.78,1.77,95% CL,SeaLifeBase,https://www.sealifebase.ca/summary/Penaeus-semisulcatus.html,,
71,Melanogrammus aeglefinus,-1.199627983,0.05058101238,0.3016919655,0.0002331622299,0.0007728486556,0.3016916663,,,,,,,,
72,Merluccius merluccius,-1.170772794,0.03030156467,0.3102695939,8.84E-05,0.0002850156601,0.3102692938,,,,,,,,
73,Clupea harengus,-1.530883908,0.03421224431,0.2164710045,5.49E-05,0.0002535228173,0.2164706262,,,,,,,,
74,Clupea pallasii,NA,NA,NA,NA,NA,0.2164706262,0.56,0.37,0.84,95% CL,FB,https://www.fishbase.se/summary/Clupea-pallasii+pallasii.html,,
75,Trachurus trachurus,-0.8871605826,0.05492083782,0.4124449926,0.0005138797731,0.001245935294,0.4124443391,,,,,,,,
76,Illex illecebrosus,NA,NA,NA,NA,NA,0.9632301093,0.76,0.5,1.135,average of 95% CL,SLB,,,
77,Engraulis japonicus,-0.2313760568,0.07384917082,0.7956075783,0.003461575938,0.004350858429,0.7956004621,,,,,,,,
78,Trachurus japonicus,-0.5147472973,0.1109148766,0.601339121,0.004476026256,0.007443431002,0.6013274213,,,,,,,,
79,Hexagrammos decagrammus,-1.337024217,0.7221056803,0.3408523418,0.07951913249,0.2332949572,0.3323985508,,,,,,,,
80,Genypterus capensis,-1.710092196,0.1192997655,0.1821406699,0.0004755402021,0.002610840305,0.1821385955,,,,,,,,
81,Scomberomorus cavalla,-0.8621843589,0.05907115927,0.4229760766,0.0006253750222,0.001478511568,0.4229723921,,,,,,,,
82,Dentex macrophthalmus,-0.7863873594,0.1357968376,0.4597065312,0.003933246625,0.008555994658,0.4596827041,,,,,,,,
83,Ophiodon elongatus,-1.96846607,0.2143695397,0.1429173311,0.0009605345892,0.006720910488,0.1429013229,,,,,,,,
84,Raja rhina,-2.70856991,0.2110768771,0.06813302835,0.000211498496,0.003104199257,0.06811523326,,,,,,,,
85,Homarus americanus,NA,NA,NA,NA,NA,0.1184980221,0.57,0.37,0.85,95% CL,SLB,https://www.sealifebase.ca/summary/Homarus-americanus.html,,
86,Sebastolobus altivelis,-2.550161416,0.6188479516,0.09454541081,0.004171201005,0.04411849258,0.0935306894,,,,,,,,
87,Scomber scombrus,-1.308648805,0.08201712954,0.2710951535,0.0004960371063,0.001829752764,0.2710896241,,,,,,,,
88,Lepidorhombus whiffiagonis,-0.8146485452,0.04779506203,0.4433009646,0.0004494274043,0.001013820046,0.4432994018,,,,,,,,
89,Brevoortia patronus,-0.17152024,0.04147937996,0.8431082064,0.001224065925,0.001451849141,0.8431078846,,,,,,,,
90,Brevoortia tyrannus,-0.32329095,0.03875060959,0.7243068538,0.0007883668937,0.001088443233,0.7243062852,,,,,,,,
91,Trachurus mediterraneus,-0.9390631557,0.09980149947,0.3929460374,0.001545626714,0.0039334325,0.3929352595,,,,,,,,
92,Lophius americanus,-1.079384927,0.135063735,0.3429180367,0.002164838166,0.006312990086,0.342903855,,,,,,,,
93,Nemadactylus macropterus,-2.239807689,0.1239557604,0.1073001562,0.0001782686119,0.001661401233,0.1072967987,,,,,,,,
94,Mugil cephalus,-1.284227233,0.05329293699,0.2772578985,0.0002186371906,0.0007885697461,0.2772570347,,,,,,,,
95,Nephrops norvegicus,NA,NA,NA,NA,NA,0.9571422004,0.52,0.34,0.78,95% CL,SLB,https://www.sealifebase.ca/summary/Nephrops-norvegicus.html,,
96,Trisopterus esmarkii,-0.4930468015,0.1280117515,0.6157875279,0.006265052427,0.01017404891,0.6157412914,,,,,,,,
97,Sebastes polyspinis,-3.004561454,0.1594252403,0.05019432781,6.49E-05,0.001292110321,0.05018889859,,,,,,,,
98,Genypterus blacodes,-2.040702446,0.1201090196,0.1308780432,0.0002488978819,0.001901754303,0.1308734768,,,,,,,,
99,Octopus vulgaris,NA,NA,NA,NA,NA,0.4308683306,0.81,0.53,1.21,95% CL,SLB,sealifebase.ca/summary/Octopus-vulgaris.html,,
100,Paralichthys olivaceus,-0.1491750674,0.1684971011,0.8737338834,0.02198481907,0.02516191655,0.8735506743,,,,,,,,
101,Hoplostethus atlanticus,-1.833173002,0.1252953557,0.1611654923,0.0004109864498,0.002550089625,0.1611606133,,,,,,,,
102,Thunnus orientalis,-1.674539601,0.2157337519,0.1918063374,0.00175269987,0.009137862145,0.1916957782,,,,,,,,
103,Engraulis ringens,-0.433633625,0.04818882473,0.6489026694,0.0009789401462,0.001508608598,0.6489003664,,,,,,,,
